id,day,pressure,maxtemp,temparature,mintemp,dewpoint,humidity,cloud,sunshine,winddirection,windspeed,rainfall
758,29,1020.4,15.5,15.4,14.1,12.0,93.0,88.0,1.4,70.0,24.4,1
759,30,1021.4,14.5,12.9,10.5,4.3,70.0,19.0,2.3,20.0,21.3,0
760,31,1017.5,22.7,21.5,20.1,20.8,93.0,88.0,0.0,20.0,35.8,1
761,32,1023.6,15.1,13.7,11.5,11.8,89.0,95.0,0.0,40.0,18.2,1
762,33,1020.4,17.2,16.2,15.6,11.0,69.0,46.0,9.5,20.0,24.4,0
763,34,1025.6,20.3,18.1,17.9,16.0,76.0,83.0,0.4,50.0,26.1,1
764,35,1017.8,20.6,18.7,17.1,16.7,79.0,84.0,1.2,40.0,21.9,1
765,36,1022.7,15.4,13.3,11.4,9.7,79.0,88.0,0.0,20.0,25.2,1
766,37,1026.5,15.0,13.6,11.2,6.4,69.0,88.0,0.2,20.0,32.2,1
767,38,1020.6,21.2,18.2,17.3,14.6,79.0,83.0,2.2,20.0,17.3,1
768,39,1017.1,22.3,20.7,17.2,18.0,82.0,87.0,1.0,50.0,24.9,1
769,40,1025.4,19.7,17.7,15.8,13.3,75.0,78.0,3.3,40.0,16.0,0
770,41,1018.9,21.6,18.0,17.6,15.9,78.0,82.0,0.0,50.0,12.7,1
771,42,1014.2,20.7,17.3,16.5,14.4,78.0,88.0,0.6,30.0,25.1,1
772,43,1015.1,25.5,21.6,20.6,19.4,78.0,68.0,9.8,80.0,14.8,0
773,44,1024.3,21.1,17.8,15.3,9.4,76.0,59.0,10.4,30.0,25.5,0
774,45,1018.6,20.8,18.8,18.3,17.3,78.0,55.0,6.9,50.0,8.6,1
775,46,1017.9,20.6,18.5,16.9,15.0,85.0,91.0,0.1,70.0,33.0,1
776,47,1018.6,17.0,16.6,15.3,14.5,93.0,91.0,0.9,20.0,20.5,1
777,48,1016.3,17.4,15.3,14.8,14.4,95.0,91.0,0.0,40.0,29.8,1
778,49,1019.9,17.5,16.5,15.5,15.6,95.0,91.0,0.0,60.0,34.0,1
779,50,1024.4,17.3,15.5,13.7,13.7,78.0,88.0,1.0,20.0,10.2,1
780,51,1015.2,17.1,16.6,15.9,15.9,95.0,100.0,0.0,50.0,21.8,1
781,52,1018.4,18.4,17.5,15.0,16.5,93.0,96.0,0.0,60.0,38.0,1
782,53,1019.4,23.6,20.4,18.9,9.9,79.0,48.0,10.3,20.0,23.9,0
783,54,1016.6,25.8,21.6,16.6,15.1,90.0,85.0,0.6,60.0,24.8,1
784,55,1020.4,17.1,15.5,14.8,8.2,79.0,79.0,0.2,20.0,23.3,0
785,56,1023.4,15.2,13.3,11.4,8.4,77.0,91.0,0.8,40.0,28.6,1
786,57,1012.2,21.3,18.9,18.8,18.6,92.0,96.0,0.0,50.0,11.1,1
787,58,1012.0,17.6,17.5,16.5,15.5,97.0,88.0,0.2,70.0,15.7,1
788,59,1012.0,18.0,17.3,16.3,16.1,76.0,86.0,3.7,20.0,31.7,1
789,60,1014.8,21.4,20.5,19.5,15.5,76.0,78.0,6.2,60.0,25.2,0
790,61,1013.4,24.0,21.8,19.6,19.8,79.0,76.0,0.0,40.0,11.2,1
791,62,1012.2,21.3,20.6,19.0,19.0,90.0,84.0,0.0,40.0,9.4,1
792,63,1018.4,21.3,19.1,17.2,18.9,98.0,100.0,0.0,50.0,8.1,1
793,64,1015.2,19.3,18.7,17.4,17.3,93.0,88.0,2.4,80.0,17.3,1
794,65,1021.8,21.9,19.2,17.4,15.7,82.0,82.0,3.1,50.0,21.4,1
795,66,1017.5,23.0,20.8,19.8,16.4,75.0,83.0,0.0,40.0,22.6,1
796,67,1020.6,18.8,19.9,17.1,16.0,79.0,95.0,0.0,30.0,19.3,1
797,68,1020.3,21.2,20.8,19.1,16.4,78.0,88.0,0.0,20.0,25.0,1
798,69,1012.7,23.5,21.5,19.8,18.8,91.0,88.0,0.0,50.0,23.9,1
799,70,1020.6,21.2,19.3,17.2,16.9,91.0,74.0,1.6,50.0,20.5,1
800,71,1017.1,18.6,17.7,16.9,15.0,79.0,91.0,0.0,70.0,38.0,1
801,72,1016.0,24.4,22.1,19.8,17.6,87.0,74.0,2.3,20.0,10.2,1
802,73,1019.4,21.3,20.7,20.9,18.3,81.0,88.0,0.0,30.0,12.1,1
803,74,1013.2,25.2,23.2,21.0,9.2,59.0,70.0,6.7,40.0,18.0,0
804,75,1013.1,25.9,23.1,21.0,21.4,93.0,88.0,1.8,40.0,17.2,0
805,76,1017.4,23.9,21.2,19.0,16.9,76.0,70.0,3.9,40.0,15.3,0
806,77,1019.3,27.8,23.1,21.3,21.9,87.0,95.0,0.6,80.0,25.5,1
807,78,1018.0,27.7,25.3,22.8,22.3,85.0,89.0,0.1,30.0,17.3,1
808,79,1013.0,26.7,23.2,21.1,23.2,90.0,88.0,0.1,30.0,15.3,1
809,80,1011.4,17.1,16.8,15.6,16.5,94.0,95.0,0.0,50.0,29.7,1
810,81,1011.6,22.4,21.1,20.1,19.6,98.0,97.0,0.5,80.0,12.5,1
811,82,1010.3,17.6,16.6,15.6,13.4,92.0,96.0,0.0,50.0,41.4,1
812,83,1008.2,25.9,22.0,21.5,20.6,88.0,84.0,3.2,20.0,24.2,1
813,84,1013.5,26.0,24.5,21.0,22.7,89.0,88.0,0.6,50.0,20.8,1
814,85,1010.3,26.9,24.9,23.0,22.3,88.0,89.0,0.4,70.0,11.3,1
815,86,1013.3,27.7,25.3,23.6,22.3,84.0,90.0,1.1,60.0,6.6,1
816,87,1011.3,22.8,20.6,19.9,18.6,79.0,81.0,0.0,70.0,23.5,1
817,88,1009.9,23.2,21.1,20.1,21.9,92.0,93.0,0.0,190.0,15.0,1
818,89,1012.5,26.2,24.9,24.0,22.1,98.0,88.0,0.1,70.0,25.2,1
819,90,1013.2,26.3,24.3,23.9,22.4,94.0,83.0,5.0,70.0,20.4,1
820,91,1012.0,28.2,25.3,23.7,23.2,89.0,90.0,2.5,40.0,8.1,1
821,92,1009.5,25.1,23.3,21.3,21.4,94.0,88.0,0.3,240.0,19.8,1
822,93,1013.9,24.8,23.7,21.8,21.2,90.0,82.0,3.3,220.0,12.0,1
823,94,1011.4,22.3,21.1,20.6,19.9,97.0,88.0,0.1,50.0,24.9,1
824,95,1006.8,27.8,25.3,24.0,24.3,92.0,89.0,2.4,40.0,21.9,1
825,96,1007.8,28.2,26.6,25.8,24.2,87.0,84.0,1.8,80.0,30.6,1
826,97,1016.3,28.6,26.4,25.0,23.9,94.0,88.0,0.4,80.0,18.0,1
827,98,1012.4,27.0,26.1,25.9,24.3,86.0,84.0,2.2,40.0,13.8,1
828,99,1017.0,28.2,26.6,25.8,23.7,79.0,82.0,4.8,100.0,30.6,1
829,100,1010.1,27.6,25.5,24.7,22.9,80.0,87.0,1.4,50.0,30.2,1
830,101,1012.2,26.6,24.9,22.0,22.1,84.0,88.0,1.0,80.0,9.1,1
831,102,1011.1,23.9,22.8,20.1,20.4,87.0,91.0,0.0,80.0,16.0,1
832,103,1012.0,30.5,26.8,24.8,23.1,84.0,88.0,2.4,60.0,28.8,1
833,104,1013.0,29.8,26.6,24.9,23.7,86.0,88.0,0.6,70.0,9.8,1
834,105,1016.0,28.4,26.8,24.8,25.0,87.0,88.0,1.5,70.0,26.4,1
835,106,1013.3,27.8,25.9,24.4,24.7,92.0,85.0,0.2,190.0,12.6,1
836,107,1008.3,30.8,28.1,25.4,24.1,84.0,85.0,3.1,180.0,15.9,1
837,108,1014.5,30.9,27.3,25.5,24.3,82.0,83.0,4.7,270.0,16.0,1
838,109,1011.1,31.0,28.1,26.7,23.7,87.0,82.0,2.7,30.0,14.0,1
839,110,1011.4,24.9,22.2,20.8,20.6,91.0,84.0,2.2,40.0,18.0,1
840,111,1013.3,26.9,24.6,23.3,19.9,82.0,81.0,5.7,70.0,20.4,1
841,112,1013.3,26.5,24.9,23.1,22.1,87.0,85.0,2.5,60.0,11.9,1
842,113,1011.4,29.8,26.9,25.6,23.8,89.0,75.0,8.8,50.0,9.2,1
843,114,1012.5,26.3,24.8,23.6,21.1,89.0,84.0,1.2,80.0,23.4,1
844,115,1011.4,29.1,26.8,25.4,23.2,83.0,81.0,1.8,190.0,15.1,1
845,116,1011.3,29.1,26.1,24.1,23.1,75.0,66.0,5.7,20.0,13.6,1
846,117,1008.1,30.8,27.8,26.5,24.7,82.0,86.0,1.2,210.0,31.2,1
847,118,1011.1,28.9,24.8,23.7,22.0,86.0,85.0,3.6,80.0,14.8,1
848,119,1010.4,31.0,28.1,26.4,23.4,89.0,71.0,6.7,200.0,13.9,0
849,120,1013.4,27.6,24.8,22.8,22.5,93.0,85.0,3.9,20.0,9.2,0
850,121,1007.6,28.7,26.2,24.3,24.2,87.0,78.0,8.4,220.0,15.8,1
851,122,1006.7,29.1,26.8,24.8,24.2,93.0,88.0,0.4,20.0,23.9,1
852,123,1009.5,30.3,27.0,24.4,23.8,77.0,75.0,8.7,100.0,7.9,1
853,124,1007.9,30.7,28.1,26.2,24.1,81.0,73.0,6.3,230.0,16.1,0
854,125,1007.6,30.4,26.3,23.2,23.3,89.0,66.0,7.7,75.0,8.5,1
855,126,1006.6,30.6,27.9,23.7,25.1,77.0,69.0,7.6,220.0,9.1,1
856,127,1006.7,29.6,28.4,26.7,25.5,93.0,85.0,0.2,130.0,24.8,1
857,128,1005.9,28.5,27.7,26.0,24.3,87.0,89.0,1.2,50.0,29.8,1
858,129,1008.9,31.0,29.0,26.7,25.6,80.0,69.0,6.4,230.0,11.2,1
859,130,1006.9,31.2,28.2,26.6,25.7,74.0,81.0,4.4,230.0,18.1,1
860,131,1007.5,32.0,29.9,27.7,24.3,91.0,85.0,6.2,220.0,25.0,1
861,132,1006.0,31.7,28.2,26.4,25.4,84.0,87.0,3.4,210.0,12.4,1
862,133,1009.5,33.0,30.1,27.1,25.9,75.0,69.0,10.0,220.0,19.6,0
863,134,1008.7,32.4,29.4,27.6,26.4,81.0,88.0,1.0,220.0,16.5,1
864,135,1007.9,33.4,29.1,24.3,25.8,88.0,82.0,2.2,230.0,20.5,1
865,136,1008.8,33.0,30.1,28.3,26.0,82.0,85.0,3.7,220.0,13.0,1
866,137,1005.9,31.8,28.5,26.4,26.1,83.0,88.0,2.0,220.0,25.1,1
867,138,1008.1,32.8,30.3,28.7,25.3,79.0,78.0,9.3,230.0,11.3,1
868,139,1008.5,31.7,28.9,26.9,25.3,84.0,88.0,1.6,220.0,24.5,1
869,140,1007.9,33.2,30.1,28.1,20.9,78.0,29.0,11.1,150.0,9.2,0
870,141,1006.3,32.8,29.0,27.7,26.3,89.0,88.0,0.7,240.0,28.4,1
871,142,1008.1,33.3,30.3,28.7,24.3,75.0,32.0,11.9,220.0,15.8,0
872,143,1006.6,33.3,30.0,28.0,25.0,72.0,39.0,10.5,230.0,9.4,0
873,144,1005.6,32.9,30.3,28.1,24.5,86.0,89.0,6.5,120.0,15.7,1
874,145,1007.5,32.2,29.7,27.5,25.7,81.0,83.0,6.3,220.0,4.5,1
875,146,1008.8,33.2,30.0,29.8,25.5,80.0,33.0,11.8,230.0,14.6,0
876,147,1005.3,33.3,30.3,28.7,24.8,76.0,54.0,10.5,230.0,10.2,0
877,148,1008.5,33.0,30.2,28.4,24.7,78.0,38.0,10.4,120.0,9.9,0
878,149,1010.5,33.7,30.3,28.6,25.8,75.0,32.0,9.3,240.0,14.0,0
879,150,1006.7,34.1,30.1,26.8,25.2,81.0,80.0,3.9,200.0,24.4,1
880,151,1008.6,33.4,30.4,28.0,24.7,72.0,20.0,10.1,230.0,11.8,0
881,152,1007.9,33.8,30.6,27.0,24.9,75.0,44.0,10.0,220.0,24.5,0
882,153,1005.6,33.4,30.4,27.0,23.4,75.0,38.0,10.6,10.0,15.4,0
883,154,1008.4,34.4,30.6,28.6,25.8,77.0,58.0,9.3,220.0,9.2,0
884,155,1009.9,35.1,30.7,28.0,25.4,81.0,60.0,8.3,200.0,14.5,1
885,156,1008.9,34.8,31.4,27.4,20.6,78.0,43.0,8.3,220.0,19.7,0
886,157,1008.8,32.9,30.9,28.2,23.9,78.0,72.0,4.1,180.0,30.2,1
887,158,1007.2,33.3,30.9,28.6,25.3,79.0,78.0,2.7,110.0,9.2,1
888,159,1006.2,34.8,30.6,27.4,24.9,82.0,80.0,4.9,70.0,28.7,1
889,160,1008.8,30.9,28.6,26.9,26.7,85.0,88.0,0.2,230.0,13.6,1
890,161,1007.8,35.1,31.0,27.1,26.5,86.0,84.0,3.8,220.0,29.8,1
891,162,1008.8,35.1,31.1,28.8,26.1,75.0,46.0,10.4,170.0,15.7,1
892,163,1006.9,33.3,30.3,28.1,25.4,74.0,47.0,5.0,230.0,9.6,0
893,164,1008.1,34.4,30.0,27.1,25.7,79.0,72.0,10.6,190.0,27.3,0
894,165,1007.8,32.3,29.0,26.9,25.4,78.0,38.0,11.0,220.0,20.2,0
895,166,1008.3,31.0,30.6,28.1,25.9,79.0,79.0,3.7,220.0,12.8,1
896,167,1010.3,31.3,28.6,26.4,25.3,93.0,84.0,1.8,220.0,14.8,1
897,168,1006.2,31.7,27.3,26.2,25.9,81.0,79.0,6.2,240.0,24.4,1
898,169,1008.1,33.1,29.6,27.4,25.6,88.0,83.0,5.9,200.0,11.1,1
899,170,1008.5,32.0,28.6,26.3,25.4,79.0,78.0,8.5,230.0,23.3,1
900,171,1006.4,32.0,28.2,26.5,25.9,84.0,82.0,3.1,220.0,14.6,1
901,172,1006.3,32.8,29.4,27.5,26.4,82.0,83.0,2.0,190.0,20.7,0
902,173,1004.5,31.4,28.0,24.7,25.2,74.0,88.0,0.1,90.0,14.8,1
903,174,1008.9,32.8,30.0,28.1,25.0,75.0,85.0,7.8,220.0,22.8,1
904,175,1008.7,31.6,28.2,26.8,26.6,89.0,82.0,2.4,240.0,25.9,1
905,176,1005.4,31.1,28.4,28.8,25.5,84.0,86.0,6.8,220.0,16.7,1
906,177,1008.4,32.4,29.5,27.3,25.8,87.0,84.0,3.7,230.0,18.8,1
907,178,1008.4,33.0,30.1,28.0,25.2,86.0,88.0,7.7,200.0,16.5,1
908,179,1008.4,30.3,28.6,26.9,25.9,88.0,84.0,0.2,230.0,12.8,1
909,180,1008.9,31.0,29.0,28.4,25.2,78.0,78.0,6.9,230.0,26.5,1
910,181,1005.7,31.0,29.1,26.3,26.3,84.0,78.0,5.4,230.0,13.3,1
911,182,1010.5,31.6,29.0,25.3,26.1,79.0,80.0,2.3,130.0,11.3,1
912,183,1008.4,33.7,30.0,27.8,25.0,78.0,38.0,11.4,180.0,13.9,0
913,184,1008.1,32.4,30.1,28.0,25.9,77.0,38.0,11.8,240.0,15.2,0
914,185,1008.5,33.3,30.6,28.1,25.9,81.0,58.0,6.0,220.0,16.5,1
915,186,1007.8,33.3,30.1,28.6,25.9,75.0,44.0,10.6,180.0,10.9,0
916,187,1003.8,31.2,28.7,26.9,24.8,86.0,83.0,3.1,210.0,12.3,1
917,188,1008.5,30.2,28.7,26.2,26.4,84.0,87.0,4.3,220.0,9.1,1
918,189,1006.4,32.3,29.9,28.2,25.2,84.0,72.0,10.7,220.0,17.3,1
919,190,1009.6,30.7,29.0,27.7,25.3,82.0,79.0,0.3,70.0,24.4,1
920,191,1005.9,32.9,29.2,28.2,26.2,75.0,47.0,9.1,240.0,13.8,1
921,192,1008.6,32.3,29.5,26.0,24.6,79.0,78.0,9.1,50.0,12.5,0
922,193,1005.8,32.2,29.4,26.4,25.3,81.0,59.0,7.2,30.0,23.7,0
923,194,1011.5,32.8,30.1,28.0,25.9,77.0,38.0,12.1,230.0,15.3,0
924,195,1006.6,33.1,30.3,28.2,25.8,78.0,69.0,11.2,230.0,8.0,0
925,196,1008.3,33.7,30.3,28.0,24.3,74.0,38.0,10.5,220.0,15.5,1
926,197,1008.5,34.4,30.1,27.8,24.3,74.0,28.0,10.1,220.0,9.2,0
927,198,1008.4,32.1,30.6,28.0,24.3,80.0,65.0,9.9,210.0,17.2,0
928,199,1008.0,33.2,30.6,26.4,26.2,81.0,78.0,5.1,290.0,15.7,1
929,200,1002.2,33.2,30.2,27.4,24.7,72.0,29.0,10.2,20.0,7.9,0
930,201,1008.2,33.2,30.0,28.8,25.3,77.0,53.0,11.0,170.0,4.5,0
931,202,1000.1,31.1,28.7,27.2,24.5,82.0,88.0,2.2,240.0,5.5,1
932,203,1011.5,31.4,28.7,26.9,25.3,82.0,88.0,1.6,200.0,22.0,1
933,204,1007.6,31.7,28.1,26.6,24.5,83.0,78.0,2.3,180.0,23.5,1
934,205,1011.4,31.0,28.1,26.9,26.3,76.0,69.0,8.8,20.0,9.1,1
935,206,1002.2,30.5,27.9,25.2,24.3,82.0,75.0,5.6,180.0,13.9,1
936,207,1009.2,31.0,28.9,26.4,25.4,89.0,86.0,1.3,80.0,11.7,1
937,208,1006.1,33.5,30.6,28.1,25.4,77.0,57.0,10.6,230.0,26.1,1
938,209,1006.7,33.3,30.2,28.0,24.3,77.0,32.0,10.9,290.0,25.0,0
939,210,1000.3,33.5,30.4,28.3,24.1,71.0,48.0,10.0,10.0,15.3,1
940,211,1004.3,35.4,31.4,28.4,24.8,62.0,38.0,11.2,110.0,22.4,0
941,212,1010.3,31.1,28.9,26.7,26.0,86.0,83.0,6.4,150.0,26.4,1
942,213,1006.6,33.3,30.8,28.6,24.7,72.0,29.0,10.6,290.0,20.2,0
943,214,1005.5,29.2,27.5,25.6,24.9,74.0,87.0,0.6,20.0,11.9,0
944,215,999.0,35.1,31.0,28.6,26.4,75.0,57.0,9.4,280.0,11.3,1
945,216,1008.4,31.2,28.1,26.8,25.4,81.0,88.0,0.3,50.0,21.9,1
946,217,1005.6,30.5,27.6,26.9,23.7,73.0,60.0,8.6,220.0,13.8,0
947,218,1008.3,32.8,29.2,26.8,24.0,80.0,85.0,5.3,220.0,13.9,1
948,219,1007.1,32.4,29.2,26.4,26.0,74.0,43.0,7.7,190.0,11.8,0
949,220,1006.4,31.3,28.8,27.3,26.4,87.0,84.0,1.2,220.0,13.9,1
950,221,1007.9,33.8,30.7,28.0,24.8,81.0,82.0,4.6,70.0,17.3,1
951,222,1008.4,31.1,29.0,26.4,24.3,74.0,46.0,5.7,110.0,21.5,1
952,223,1008.4,31.0,28.7,26.5,25.3,81.0,83.0,3.9,240.0,12.6,0
953,224,1008.5,31.1,28.1,26.4,25.5,78.0,80.0,7.9,300.0,18.4,1
954,225,1010.8,28.9,26.3,25.4,23.9,79.0,55.0,10.2,110.0,18.8,0
955,226,1008.1,29.6,26.9,24.8,25.8,78.0,88.0,6.9,60.0,17.3,1
956,227,1010.9,29.6,26.4,24.5,23.6,82.0,58.0,4.8,100.0,17.3,1
957,228,1012.3,28.6,26.8,24.8,23.8,72.0,48.0,10.9,20.0,12.8,0
958,229,1012.2,31.9,28.0,26.7,25.3,81.0,77.0,4.6,40.0,22.5,1
959,230,1011.5,29.5,26.9,25.0,23.8,75.0,43.0,7.7,100.0,22.6,0
960,231,1011.7,32.3,29.9,27.2,23.2,73.0,43.0,9.5,70.0,25.0,0
961,232,1011.4,31.2,28.9,26.4,23.1,70.0,47.0,7.7,10.0,17.2,0
962,233,1012.5,28.7,26.5,24.8,23.2,71.0,45.0,10.2,70.0,25.0,0
963,234,1005.7,28.9,26.0,24.8,23.0,73.0,44.0,9.8,20.0,20.5,0
964,235,1005.0,33.0,30.0,28.1,25.0,77.0,43.0,9.4,220.0,29.0,0
965,236,1008.4,33.3,30.1,27.0,22.5,84.0,48.0,7.9,60.0,17.2,0
966,237,1013.1,30.3,26.7,24.8,22.3,73.0,46.0,10.2,70.0,9.1,0
967,238,1008.9,31.6,29.2,26.9,25.8,82.0,82.0,6.7,200.0,30.0,1
968,239,1010.3,32.9,28.6,26.9,24.6,79.0,51.0,11.0,60.0,11.9,0
969,240,1014.4,30.9,27.2,25.2,25.3,86.0,81.0,1.6,220.0,37.7,1
970,241,1009.5,31.2,29.4,26.8,21.8,75.0,72.0,7.3,80.0,13.1,1
971,242,1014.2,28.5,27.2,24.8,25.5,89.0,86.0,2.4,200.0,13.0,1
972,243,1012.5,31.2,28.1,26.8,23.2,78.0,58.0,5.9,50.0,14.0,1
973,244,1010.5,30.4,28.5,26.4,23.3,78.0,45.0,10.2,190.0,24.8,0
974,245,1008.4,31.3,28.1,26.8,24.8,75.0,78.0,7.7,210.0,30.2,1
975,246,1012.5,31.1,28.8,26.5,24.0,79.0,77.0,6.4,220.0,17.3,1
976,247,1015.0,31.2,28.8,27.8,25.1,87.0,69.0,9.5,220.0,21.3,1
977,248,1008.2,32.3,29.7,27.3,24.2,74.0,83.0,5.4,230.0,39.5,1
978,249,1006.0,32.2,29.4,27.4,24.7,82.0,85.0,3.5,220.0,25.9,1
979,250,1008.5,31.8,28.1,26.9,25.6,86.0,83.0,2.1,220.0,33.2,1
980,251,1012.5,31.2,28.2,25.8,20.6,70.0,44.0,9.3,60.0,33.4,0
981,252,1008.9,32.4,28.8,27.9,25.4,81.0,69.0,5.7,230.0,18.2,1
982,253,1008.0,32.2,29.7,26.6,24.3,80.0,78.0,5.0,10.0,15.9,1
983,254,1009.9,31.0,28.7,27.0,23.2,85.0,78.0,6.3,70.0,8.0,1
984,255,1012.5,30.8,27.8,26.5,23.2,76.0,45.0,7.6,20.0,9.8,1
985,256,1010.2,32.3,29.0,26.6,25.4,82.0,69.0,4.7,220.0,21.3,1
986,257,1007.9,28.1,26.8,24.3,23.1,85.0,85.0,2.5,130.0,30.6,1
987,258,1015.2,30.7,27.9,25.8,24.3,81.0,67.0,5.9,180.0,8.9,1
988,259,1010.4,28.2,26.3,24.6,21.9,74.0,49.0,9.5,20.0,13.4,0
989,260,1007.6,29.9,27.0,26.5,25.6,92.0,88.0,0.5,200.0,8.0,1
990,261,1009.1,28.2,27.5,25.4,25.4,89.0,88.0,0.2,280.0,20.3,1
991,262,1008.1,31.0,28.7,27.0,25.0,81.0,78.0,6.4,230.0,23.5,1
992,263,1005.7,28.2,25.5,23.4,20.6,84.0,89.0,2.0,20.0,23.4,1
993,264,1016.0,31.4,28.1,26.1,23.8,76.0,53.0,9.1,90.0,14.0,0
994,265,1017.1,31.0,26.8,25.4,25.4,87.0,88.0,1.6,40.0,21.3,1
995,266,1017.0,30.3,27.9,26.2,23.8,81.0,66.0,5.9,70.0,8.3,1
996,267,1018.7,29.1,27.9,25.8,23.1,86.0,82.0,6.3,50.0,11.9,1
997,268,1013.0,28.8,25.5,23.7,19.3,90.0,81.0,3.4,80.0,40.8,1
998,269,1018.0,26.2,25.2,24.9,23.6,89.0,84.0,0.6,220.0,12.5,1
999,270,1017.4,26.8,24.5,24.4,22.1,94.0,88.0,1.2,230.0,40.4,1
1000,271,1018.7,29.3,25.4,24.7,24.8,94.0,88.0,0.1,180.0,15.2,0
1001,272,1018.9,26.1,24.8,23.5,19.9,70.0,64.0,6.4,70.0,50.7,0
1002,273,1008.9,27.2,25.5,24.8,22.0,79.0,28.0,10.3,220.0,26.7,0
1003,274,1017.7,26.6,25.5,23.6,19.4,95.0,95.0,0.0,70.0,28.4,1
1004,275,1015.9,28.4,26.2,25.9,24.8,78.0,85.0,6.6,80.0,9.6,1
1005,276,1016.9,24.8,22.9,20.6,22.2,92.0,88.0,0.0,70.0,50.6,1
1006,277,1010.3,25.2,23.7,22.3,21.7,82.0,61.0,6.6,50.0,14.1,0
1007,278,1018.8,26.8,24.0,23.9,22.7,90.0,82.0,2.2,70.0,21.8,1
1008,279,1012.5,27.8,25.8,23.4,20.6,76.0,47.0,7.6,30.0,9.0,0
1009,280,1019.0,25.8,22.6,20.5,20.4,79.0,73.0,0.7,70.0,11.3,0
1010,281,1015.9,28.7,25.7,20.6,19.9,65.0,51.0,9.4,70.0,20.9,1
1011,282,1018.9,26.0,24.8,23.7,22.4,75.0,46.0,5.5,80.0,20.5,0
1012,283,1018.4,27.8,25.3,24.2,23.2,70.0,81.0,2.0,80.0,10.2,1
1013,284,1019.1,25.7,24.7,24.5,22.3,80.0,88.0,0.3,70.0,20.2,1
1014,285,1017.1,27.7,25.5,24.0,21.4,75.0,78.0,7.6,70.0,17.3,1
1015,286,1019.8,28.9,23.7,21.0,19.0,79.0,79.0,3.2,100.0,11.0,1
1016,287,1014.2,29.4,26.2,23.1,21.4,75.0,49.0,6.6,10.0,15.0,0
1017,288,1014.8,28.6,26.6,24.8,21.2,81.0,81.0,1.7,110.0,27.6,1
1018,289,1017.8,27.8,25.8,24.3,22.3,68.0,56.0,9.9,40.0,9.6,1
1019,290,1018.8,28.8,24.5,22.2,19.9,70.0,48.0,7.7,20.0,14.5,0
1020,291,1012.2,28.9,23.8,20.2,21.4,85.0,84.0,0.7,40.0,40.4,1
1021,292,1011.6,25.9,24.7,22.4,22.7,62.0,84.0,7.5,70.0,21.5,1
1022,293,1016.8,25.9,23.7,23.3,21.4,84.0,70.0,9.2,80.0,25.0,0
1023,294,1013.0,26.2,24.8,23.7,21.3,81.0,88.0,1.0,70.0,41.3,1
