id,day,pressure,maxtemp,temparature,mintemp,dewpoint,humidity,cloud,sunshine,winddirection,windspeed,rainfall
28,29,1019.9,22.9,20.9,19.2,17.3,86.0,79.0,0.6,50.0,21.4,1
29,30,1018.1,23.1,20.8,19.2,15.5,74.0,49.0,7.7,40.0,14.3,0
30,31,1018.5,21.3,20.3,19.3,15.3,75.0,69.0,7.7,70.0,35.1,1
31,32,1019.5,23.2,22.1,20.1,18.8,82.0,69.0,1.1,40.0,20.5,0
32,33,1020.4,21.3,18.8,17.3,13.6,52.0,56.0,2.9,40.0,21.3,0
33,34,1024.4,21.6,19.3,17.4,15.3,90.0,95.0,4.3,70.0,35.3,1
34,35,1017.0,21.5,20.6,18.6,17.0,91.0,88.0,0.0,50.0,14.3,1
35,36,1023.1,18.2,17.1,16.3,9.5,78.0,89.0,0.0,50.0,28.4,0
36,37,1014.4,22.9,21.4,20.0,17.8,79.0,88.0,0.0,40.0,18.4,1
37,38,1021.8,21.1,18.2,17.8,16.9,74.0,44.0,9.5,20.0,26.7,0
38,39,1023.1,20.4,17.8,14.8,15.0,75.0,43.0,9.2,60.0,11.9,0
39,40,1018.9,21.9,19.3,17.2,16.9,79.0,90.0,0.0,50.0,28.8,1
40,41,1017.1,23.4,21.7,19.6,19.0,88.0,83.0,2.3,40.0,29.6,1
41,42,1015.8,21.2,19.4,17.3,17.0,75.0,46.0,4.1,20.0,19.0,0
42,43,1013.1,21.4,20.9,19.4,17.8,83.0,88.0,0.0,30.0,20.8,1
43,44,1015.2,18.9,17.7,16.9,16.8,90.0,90.0,0.0,60.0,34.2,1
44,45,1017.4,16.1,15.5,13.6,11.4,72.0,43.0,8.8,40.0,27.3,1
45,46,1016.9,17.5,15.5,14.8,14.6,91.0,91.0,0.0,20.0,33.4,1
46,47,1018.1,20.6,16.1,14.2,12.2,79.0,89.0,1.0,20.0,10.7,1
47,48,1016.5,21.6,19.2,17.5,19.0,95.0,92.0,0.3,40.0,6.9,1
48,49,1016.8,21.3,19.5,17.6,17.6,75.0,70.0,2.2,50.0,16.5,0
49,50,1023.6,18.8,16.0,14.8,12.4,72.0,40.0,9.5,20.0,9.8,1
50,51,1024.4,17.2,15.6,12.8,8.6,79.0,49.0,9.1,20.0,35.3,0
51,52,1016.3,22.3,19.2,18.2,18.5,96.0,88.0,0.3,70.0,9.9,1
52,53,1019.6,18.4,17.1,16.0,16.3,93.0,93.0,0.0,70.0,19.0,1
53,54,1018.8,22.5,20.1,19.1,16.4,76.0,71.0,6.1,40.0,20.5,0
54,55,1016.5,20.6,18.1,17.0,16.3,76.0,88.0,0.0,60.0,39.5,1
55,56,1016.8,21.3,19.7,18.2,18.9,95.0,91.0,0.0,40.0,10.2,1
56,57,1012.0,20.9,20.9,19.1,14.9,86.0,80.0,1.6,60.0,13.8,0
57,58,1020.4,25.9,21.6,19.8,17.0,79.0,70.0,7.8,40.0,24.4,1
58,59,1014.4,25.3,21.9,19.1,19.6,86.0,82.0,1.6,40.0,27.3,1
59,60,1013.3,22.4,20.5,20.3,17.8,91.0,80.0,0.0,40.0,25.0,1
60,61,1018.1,21.3,20.3,19.9,18.9,92.0,88.0,0.0,40.0,28.4,1
61,62,1020.4,18.2,15.9,13.5,9.9,84.0,83.0,2.3,70.0,17.2,1
62,63,1017.7,20.6,18.1,16.9,17.4,95.0,91.0,0.0,40.0,16.1,1
63,64,1017.9,21.3,19.5,18.4,15.5,76.0,72.0,7.2,70.0,25.1,0
64,65,1019.4,21.6,19.6,17.0,17.9,69.0,54.0,1.0,50.0,29.6,0
65,66,1022.7,14.3,12.8,10.0,8.0,63.0,95.0,0.1,20.0,24.5,1
66,67,1020.3,18.4,15.7,14.6,12.6,59.0,88.0,0.0,40.0,27.4,1
67,68,1014.2,18.4,18.0,17.2,17.4,97.0,95.0,0.0,40.0,22.9,1
68,69,1015.0,17.8,16.0,16.9,16.6,90.0,51.0,9.5,60.0,24.9,0
69,70,1014.6,25.1,20.0,19.0,19.5,72.0,47.0,10.8,30.0,28.8,0
70,71,1021.4,20.9,18.4,16.9,8.9,75.0,43.0,11.0,20.0,7.4,0
71,72,1015.6,25.2,21.8,19.1,19.9,83.0,80.0,3.4,70.0,16.5,0
72,73,1018.5,23.0,21.1,20.6,19.6,89.0,88.0,1.4,20.0,8.9,1
73,74,1017.1,26.3,23.3,19.2,18.8,84.0,61.0,7.6,70.0,24.8,1
74,75,1012.0,23.1,21.6,20.4,19.9,90.0,87.0,0.5,40.0,26.0,1
75,76,1012.5,26.1,23.2,21.5,20.1,87.0,88.0,3.7,40.0,28.0,1
76,77,1014.0,25.2,23.3,22.3,21.1,89.0,88.0,0.3,70.0,20.0,1
77,78,1014.0,24.9,23.1,22.4,22.8,85.0,88.0,3.2,70.0,31.2,1
78,79,1013.5,26.9,25.3,24.2,21.9,87.0,85.0,0.3,50.0,26.1,1
79,80,1011.4,27.6,20.9,19.0,13.7,77.0,91.0,0.2,40.0,15.4,1
80,81,1016.8,26.5,24.8,23.3,22.1,83.0,81.0,1.2,80.0,24.4,1
81,82,1019.8,27.6,25.4,24.0,22.3,89.0,84.0,1.6,20.0,18.6,1
82,83,1011.0,26.3,24.9,23.0,22.0,81.0,88.0,0.2,40.0,24.4,1
83,84,1010.7,24.2,23.0,21.4,17.0,86.0,80.0,1.1,70.0,9.8,1
84,85,1008.1,28.1,25.1,23.8,22.8,86.0,83.0,4.4,90.0,17.2,1
85,86,1013.0,27.2,24.8,23.4,22.3,90.0,85.0,5.9,70.0,17.2,1
86,87,1013.0,27.8,25.8,23.7,20.6,74.0,88.0,0.4,40.0,16.0,1
87,88,1012.2,27.1,25.9,24.2,22.6,86.0,84.0,1.6,70.0,17.5,1
88,89,1016.8,25.1,23.1,22.9,22.0,87.0,82.0,2.1,70.0,32.5,1
89,90,1010.1,27.2,24.8,23.3,21.6,91.0,88.0,0.3,50.0,19.6,1
90,91,1014.6,28.2,24.5,22.3,22.0,87.0,81.0,4.8,40.0,8.9,1
91,92,1013.1,28.2,24.1,22.0,22.9,89.0,81.0,1.2,70.0,31.8,1
92,93,1016.0,26.3,23.9,22.2,20.4,90.0,88.0,0.7,30.0,28.5,1
93,94,1015.0,26.2,24.9,22.2,19.8,92.0,85.0,0.2,80.0,28.0,1
94,95,1011.4,26.8,24.4,23.6,22.6,91.0,80.0,1.0,220.0,34.2,1
95,96,1009.2,28.2,26.7,25.3,23.1,87.0,86.0,0.3,100.0,12.0,0
96,97,1008.6,29.1,26.6,25.4,24.2,93.0,85.0,0.9,220.0,19.0,1
97,98,1011.4,28.2,24.8,22.3,23.7,84.0,85.0,2.4,90.0,14.7,1
98,99,1015.2,25.9,23.4,22.8,21.2,81.0,81.0,3.9,290.0,21.2,1
99,100,1017.1,26.9,25.8,25.4,19.7,78.0,85.0,0.3,70.0,18.2,1
100,101,1013.0,28.6,26.7,24.3,23.2,87.0,83.0,2.2,70.0,24.0,1
101,102,1016.8,29.6,25.8,23.3,22.1,86.0,83.0,3.5,30.0,9.8,1
102,103,1013.4,30.2,26.8,24.8,23.4,85.0,78.0,2.1,70.0,24.9,1
103,104,1015.8,29.6,26.5,23.7,23.2,86.0,83.0,3.9,170.0,24.4,0
104,105,1008.3,28.9,26.9,24.3,24.8,87.0,82.0,1.6,200.0,23.7,1
105,106,1008.9,28.0,27.8,25.2,25.2,89.0,88.0,0.4,70.0,34.2,1
106,107,1010.3,30.2,26.9,24.2,22.7,84.0,84.0,2.2,230.0,15.1,1
107,108,1008.9,31.2,28.0,24.7,25.0,81.0,88.0,0.6,240.0,28.4,1
108,109,1011.4,27.6,25.5,24.4,24.8,79.0,80.0,4.5,60.0,12.4,1
109,110,1010.1,30.6,28.1,26.8,25.1,89.0,89.0,2.0,130.0,21.4,1
110,111,1010.9,30.6,28.7,26.3,25.3,86.0,84.0,2.3,270.0,18.8,1
111,112,1009.8,28.7,25.4,23.9,22.1,87.0,84.0,2.9,40.0,14.5,1
112,113,1011.4,26.2,24.0,22.4,23.4,82.0,83.0,2.1,70.0,11.9,1
113,114,1009.8,28.7,26.7,25.3,24.3,84.0,87.0,0.6,90.0,15.7,1
114,115,1008.3,31.0,28.6,26.9,24.9,81.0,83.0,3.0,220.0,9.2,1
115,116,1008.8,29.7,25.8,24.2,22.6,89.0,88.0,1.3,20.0,28.8,1
116,117,1012.2,25.8,23.7,22.4,22.3,89.0,81.0,1.2,80.0,39.5,1
117,118,1011.1,28.2,25.5,23.3,19.3,82.0,81.0,4.3,40.0,31.8,0
118,119,1013.5,27.3,25.5,23.3,20.6,73.0,64.0,6.3,120.0,29.6,0
119,120,1007.9,31.2,28.1,26.4,24.3,85.0,90.0,3.9,130.0,23.3,1
120,121,1006.8,31.0,28.1,26.8,25.0,84.0,84.0,2.6,220.0,14.5,1
121,122,1005.9,29.2,27.4,25.5,24.0,89.0,88.0,1.2,130.0,15.8,1
122,123,1009.5,30.9,27.1,26.3,24.0,89.0,88.0,1.4,230.0,15.1,1
123,124,1010.9,29.8,26.5,24.3,23.3,83.0,85.0,3.5,190.0,14.2,1
124,125,1012.0,26.4,24.9,23.2,21.7,84.0,82.0,0.3,70.0,14.0,1
125,126,1012.5,27.9,25.8,24.4,23.1,82.0,88.0,1.6,80.0,39.3,1
126,127,1008.8,31.0,28.1,26.2,25.0,81.0,80.0,3.7,80.0,20.5,1
127,128,1011.4,30.7,27.9,26.4,25.6,89.0,89.0,1.2,200.0,22.5,1
128,129,1009.5,30.1,28.9,26.3,24.3,84.0,70.0,3.3,230.0,15.3,1
129,130,1011.2,31.6,28.7,26.3,25.4,81.0,88.0,0.1,200.0,26.1,1
130,131,1008.7,31.4,28.2,26.1,25.1,82.0,75.0,9.1,120.0,21.8,0
131,132,1012.4,31.3,28.8,26.1,22.7,81.0,87.0,2.1,20.0,19.2,1
132,133,1008.3,33.0,30.1,28.0,25.1,75.0,68.0,10.0,230.0,19.3,1
133,134,1005.9,31.0,28.8,27.3,20.7,77.0,59.0,7.5,70.0,9.8,0
134,135,1009.3,32.3,30.2,27.4,25.9,86.0,88.0,0.6,220.0,13.4,1
135,136,1006.6,32.0,29.4,27.6,26.0,89.0,88.0,2.5,200.0,26.4,1
136,137,1008.5,32.2,29.0,27.0,25.3,79.0,79.0,7.0,220.0,16.4,1
137,138,1006.6,32.3,29.6,28.7,25.7,84.0,77.0,6.3,220.0,15.4,1
138,139,1008.4,32.6,29.7,26.4,25.7,81.0,69.0,7.8,220.0,34.0,1
139,140,1008.0,32.8,29.9,26.7,26.7,89.0,74.0,6.1,230.0,15.8,1
140,141,1007.6,32.7,29.0,27.0,26.0,76.0,46.0,10.0,220.0,9.4,0
141,142,1009.1,32.8,30.0,26.4,25.2,74.0,28.0,11.1,220.0,19.0,0
142,143,1008.5,30.4,27.4,25.3,24.2,74.0,57.0,9.1,220.0,11.9,0
143,144,1005.2,31.5,28.3,26.9,25.8,87.0,83.0,6.9,60.0,14.1,1
144,145,1008.7,33.0,30.2,28.4,25.7,78.0,53.0,10.0,220.0,10.9,0
145,146,1008.7,32.1,29.8,27.5,25.5,81.0,83.0,3.0,130.0,52.8,1
146,147,1005.6,32.8,29.0,27.0,25.0,74.0,38.0,11.9,200.0,8.3,0
147,148,1008.5,33.3,30.1,28.0,24.3,79.0,69.0,10.7,220.0,7.9,0
148,149,1010.3,31.2,28.1,25.8,23.1,79.0,49.0,9.8,20.0,14.5,0
149,150,1006.4,34.0,30.1,28.4,25.8,77.0,23.0,10.4,240.0,15.7,0
150,151,1009.8,34.4,30.1,28.8,24.7,74.0,29.0,11.4,200.0,12.6,1
151,152,1008.9,34.0,30.6,26.7,25.9,81.0,79.0,4.8,220.0,25.0,1
152,153,1006.6,33.2,30.8,28.0,25.3,77.0,29.0,11.0,230.0,14.5,0
153,154,1009.4,32.0,29.0,27.0,24.5,76.0,44.0,10.7,220.0,40.8,0
154,155,1006.8,31.9,29.3,26.2,24.2,81.0,77.0,6.7,210.0,7.9,1
155,156,1008.7,32.9,29.1,27.1,25.3,78.0,78.0,9.1,240.0,19.0,1
156,157,1005.9,34.7,30.1,28.5,25.4,79.0,88.0,0.4,50.0,15.3,1
157,158,1008.1,31.7,28.9,26.2,25.8,81.0,78.0,4.6,230.0,21.9,1
158,159,1009.5,30.8,28.9,27.4,25.1,86.0,67.0,5.7,110.0,11.1,1
159,160,1008.4,32.6,30.7,28.4,25.4,86.0,78.0,2.3,230.0,14.1,1
160,161,1008.1,31.7,29.5,27.5,25.5,84.0,63.0,8.9,130.0,14.0,0
161,162,1007.5,32.0,30.1,29.0,25.6,84.0,88.0,1.5,220.0,29.2,1
162,163,1006.6,31.0,29.3,27.1,25.3,79.0,77.0,4.6,220.0,13.9,1
163,164,1006.9,32.2,29.0,27.6,25.3,82.0,78.0,6.6,220.0,14.5,1
164,165,1009.9,32.6,29.7,27.4,26.1,79.0,73.0,9.4,210.0,31.9,1
165,166,1007.9,33.0,30.1,27.8,25.8,78.0,67.0,10.6,220.0,14.5,1
166,167,1008.4,31.2,29.0,27.2,25.3,90.0,77.0,2.7,130.0,9.1,1
167,168,1007.2,33.2,29.6,26.9,25.0,85.0,88.0,2.4,240.0,25.1,1
168,169,1002.5,33.5,30.0,27.8,26.0,89.0,88.0,2.0,220.0,10.9,1
169,170,1006.3,29.1,27.9,26.6,25.8,89.0,88.0,0.5,230.0,20.9,1
170,171,1003.8,33.1,30.1,27.1,26.1,80.0,83.0,0.5,220.0,27.9,1
171,172,1002.8,33.7,30.0,26.1,24.7,89.0,78.0,2.1,220.0,9.2,1
172,173,1009.9,35.2,30.0,28.5,24.7,78.0,44.0,10.1,240.0,12.4,1
173,174,1006.8,31.6,29.2,27.3,25.3,86.0,86.0,1.0,80.0,31.2,1
174,175,1009.3,31.2,28.1,26.2,25.3,78.0,47.0,9.1,200.0,17.2,0
175,176,1007.5,32.8,30.1,28.0,25.6,79.0,72.0,7.1,220.0,30.3,0
176,177,1008.6,32.9,29.7,27.4,25.8,91.0,87.0,0.2,230.0,26.3,1
177,178,1008.4,32.0,29.4,27.5,26.2,82.0,84.0,6.4,230.0,16.9,1
178,179,1007.9,30.6,28.4,26.7,25.8,82.0,84.0,1.3,200.0,14.5,1
179,180,1006.8,31.2,29.0,26.1,25.4,80.0,88.0,1.2,190.0,26.4,1
180,181,1008.4,29.0,28.2,26.8,25.0,84.0,88.0,0.5,190.0,19.8,1
181,182,1010.6,31.1,28.9,26.7,25.6,84.0,84.0,4.4,190.0,16.5,1
182,183,1008.8,30.3,28.4,26.8,25.4,79.0,88.0,0.3,230.0,14.5,1
183,184,1006.7,31.2,28.4,26.8,25.2,79.0,78.0,4.4,220.0,16.3,1
184,185,1003.8,30.8,27.9,26.5,24.8,81.0,84.0,2.0,220.0,11.9,1
185,186,1008.5,32.0,30.7,28.4,25.8,77.0,72.0,7.7,220.0,10.0,1
186,187,1008.1,31.7,28.9,26.9,25.3,86.0,82.0,2.2,220.0,20.0,1
187,188,1008.9,31.2,28.2,26.8,26.0,87.0,83.0,3.0,220.0,14.3,1
188,189,1008.1,33.0,30.0,28.4,25.3,84.0,69.0,0.4,220.0,14.3,0
189,190,1008.4,33.0,30.0,28.1,25.5,81.0,51.0,6.9,220.0,18.0,1
190,191,1008.9,32.4,30.7,28.0,25.0,79.0,67.0,7.0,220.0,10.9,1
191,192,1006.9,33.3,30.3,26.7,26.4,79.0,88.0,3.0,200.0,20.5,1
192,193,1006.8,33.0,30.4,28.0,25.5,76.0,38.0,10.9,220.0,15.8,0
193,194,1008.1,33.9,30.0,28.0,26.4,84.0,61.0,9.1,160.0,8.6,1
194,195,1009.8,32.5,30.7,28.3,25.5,75.0,40.0,11.2,270.0,6.6,0
195,196,1005.9,34.1,30.2,28.1,25.5,78.0,41.0,8.3,10.0,13.6,0
196,197,1005.4,33.3,30.0,26.3,24.3,81.0,47.0,8.2,220.0,12.8,1
197,198,1006.5,32.7,30.3,28.3,24.1,74.0,61.0,10.0,200.0,23.5,0
198,199,1006.7,33.5,30.5,28.7,26.4,79.0,78.0,5.5,230.0,9.1,0
199,200,1001.0,32.9,30.2,28.2,25.8,78.0,38.0,11.1,230.0,16.3,1
200,201,1007.9,32.0,30.6,28.4,25.9,81.0,78.0,9.1,230.0,25.5,1
201,202,1011.4,31.2,28.3,26.3,25.3,80.0,43.0,9.5,220.0,9.8,0
202,203,1008.4,31.8,28.8,26.7,24.5,81.0,78.0,2.2,200.0,11.2,1
203,204,1008.1,32.4,29.0,26.5,26.3,84.0,83.0,6.7,190.0,15.3,1
204,205,1008.9,30.6,28.4,26.6,25.0,81.0,88.0,0.3,220.0,11.3,1
205,206,1008.9,29.4,27.2,26.6,25.6,89.0,83.0,0.3,180.0,10.0,1
206,207,1004.8,31.1,28.7,26.7,25.4,78.0,79.0,3.8,210.0,13.8,1
207,208,1004.2,31.2,28.0,26.5,25.9,89.0,84.0,0.3,220.0,17.3,1
208,209,1008.9,32.9,29.6,26.4,26.6,83.0,82.0,3.5,280.0,9.2,1
209,210,1008.1,30.6,28.6,26.3,25.3,82.0,87.0,2.0,200.0,20.5,1
210,211,1008.1,32.9,29.9,28.6,26.3,81.0,78.0,5.0,250.0,21.9,1
211,212,1006.5,30.6,27.4,24.9,25.0,84.0,88.0,2.1,190.0,21.9,1
212,213,1010.5,30.6,28.3,26.6,25.9,85.0,82.0,2.9,300.0,21.9,1
213,214,1008.4,32.7,30.4,28.1,25.2,74.0,43.0,10.0,300.0,13.8,0
214,215,1007.9,31.2,28.1,26.9,25.8,82.0,84.0,2.2,220.0,24.5,1
215,216,1008.3,33.0,30.0,27.4,24.2,75.0,43.0,9.3,220.0,23.2,0
216,217,1007.5,30.8,27.2,25.5,23.2,75.0,78.0,3.5,90.0,13.9,1
217,218,1005.6,31.6,28.3,26.4,25.4,81.0,84.0,2.5,220.0,23.7,1
218,219,1008.5,31.5,28.1,25.7,25.5,74.0,75.0,7.6,230.0,10.9,1
219,220,1007.8,30.1,28.1,26.1,25.1,84.0,83.0,2.5,230.0,20.3,0
220,221,1007.8,32.9,29.6,26.5,25.8,89.0,88.0,1.1,220.0,13.2,1
221,222,1005.9,28.6,26.8,25.4,25.4,90.0,88.0,0.5,230.0,19.2,1
222,223,1008.5,29.1,28.3,27.4,24.3,85.0,88.0,0.2,230.0,15.3,1
223,224,1005.9,31.8,28.8,26.7,25.0,79.0,67.0,6.7,240.0,7.3,1
224,225,1010.7,29.6,26.9,24.5,24.1,87.0,84.0,6.0,220.0,9.1,1
225,226,1012.0,29.6,27.1,25.8,23.8,76.0,50.0,8.8,60.0,14.3,0
226,227,1012.0,29.4,27.7,25.4,25.9,81.0,86.0,2.4,40.0,13.8,1
227,228,1011.6,33.7,29.1,26.9,23.2,85.0,84.0,5.8,230.0,11.0,1
228,229,1008.5,30.6,27.8,25.7,25.4,91.0,81.0,3.7,220.0,23.2,1
229,230,1007.3,31.8,28.1,24.5,25.4,85.0,88.0,0.6,230.0,11.7,1
230,231,1011.4,30.2,27.8,26.5,23.1,76.0,54.0,10.0,50.0,13.3,0
231,232,1010.6,30.8,28.1,26.1,25.8,84.0,58.0,9.9,100.0,29.0,0
232,233,1009.2,29.2,26.8,25.5,23.1,75.0,62.0,6.9,10.0,12.1,1
233,234,1010.9,28.6,26.1,25.4,23.4,89.0,87.0,0.3,40.0,11.7,1
234,235,1012.2,28.1,25.8,24.5,23.2,86.0,83.0,3.6,80.0,23.7,1
235,236,1011.4,31.4,28.1,26.8,23.7,75.0,56.0,10.0,70.0,32.5,0
236,237,1009.8,32.0,27.6,25.3,22.3,75.0,80.0,8.0,220.0,8.3,0
237,238,1013.0,30.4,28.7,26.4,25.3,83.0,79.0,2.0,220.0,29.8,1
238,239,1009.1,31.8,28.0,26.8,25.0,89.0,80.0,2.0,120.0,14.5,1
239,240,1013.6,28.1,26.0,25.1,22.2,79.0,51.0,2.0,80.0,17.5,0
240,241,1014.8,32.8,28.1,26.7,23.5,78.0,44.0,8.4,130.0,34.2,0
241,242,1014.4,31.3,28.1,26.0,23.3,82.0,88.0,0.2,230.0,22.9,1
242,243,1013.7,28.7,27.8,25.3,23.3,79.0,60.0,9.1,60.0,17.2,0
243,244,1013.3,29.3,27.9,25.0,25.8,83.0,84.0,3.1,110.0,9.6,0
244,245,1007.9,30.8,28.6,26.3,25.3,87.0,87.0,4.1,230.0,25.9,0
245,246,1008.1,31.1,28.1,26.2,24.5,79.0,62.0,7.7,60.0,12.5,0
246,247,1007.1,31.6,29.4,26.0,25.8,84.0,82.0,7.6,160.0,16.5,1
247,248,1005.8,30.3,27.5,25.9,22.1,77.0,86.0,1.2,220.0,11.7,0
248,249,1005.7,31.7,28.4,26.9,25.6,82.0,86.0,1.8,190.0,21.6,1
249,250,1007.6,30.6,27.4,26.4,25.3,78.0,47.0,10.0,220.0,9.2,0
250,251,1015.0,29.8,27.9,26.5,23.2,76.0,78.0,6.2,10.0,11.0,1
251,252,1014.8,31.2,28.4,26.8,26.1,86.0,77.0,3.8,30.0,12.6,1
252,253,1013.0,31.1,28.9,25.8,20.6,75.0,54.0,10.0,60.0,14.5,0
253,254,1007.7,32.0,29.1,26.7,25.0,75.0,78.0,2.3,10.0,17.2,1
254,255,1008.2,32.3,29.6,27.9,24.2,78.0,69.0,6.8,20.0,11.8,1
255,256,1010.2,29.2,27.0,25.7,25.4,79.0,67.0,4.5,80.0,44.7,1
256,257,1013.0,31.2,28.7,26.3,26.3,91.0,88.0,1.8,70.0,26.7,1
257,258,1015.1,30.3,27.7,24.7,25.6,81.0,69.0,2.6,90.0,25.1,1
258,259,1015.0,28.6,26.6,24.8,23.6,83.0,84.0,3.6,20.0,37.5,1
259,260,1013.5,28.9,26.5,24.8,20.6,76.0,54.0,4.5,80.0,16.7,1
260,261,1013.2,27.8,26.6,25.8,25.2,90.0,84.0,1.2,120.0,27.3,1
261,262,1004.9,28.4,26.2,24.7,24.4,84.0,83.0,3.6,20.0,29.8,1
262,263,1010.5,27.8,25.8,24.3,21.2,73.0,47.0,6.8,70.0,21.9,1
263,264,1017.0,28.9,25.5,24.5,23.4,82.0,66.0,2.0,70.0,34.2,0
264,265,1017.8,29.7,27.9,25.6,25.4,77.0,61.0,8.4,190.0,13.2,0
265,266,1016.4,28.7,25.6,20.5,24.7,84.0,88.0,3.1,80.0,37.9,1
266,267,1017.9,28.0,26.5,24.9,23.4,82.0,77.0,8.5,200.0,23.9,0
267,268,1008.3,22.5,20.8,19.6,18.6,73.0,21.0,10.0,60.0,38.3,0
268,269,1017.1,27.2,25.5,24.4,21.4,82.0,65.0,8.6,80.0,35.1,1
269,270,1010.3,27.8,25.4,23.7,23.5,89.0,89.0,0.1,60.0,50.6,1
270,271,1018.1,28.1,27.1,25.4,25.1,90.0,81.0,1.6,180.0,52.8,1
271,272,1017.7,28.8,26.4,24.5,16.9,79.0,43.0,9.3,80.0,24.4,0
272,273,1018.9,26.1,23.7,21.0,22.0,90.0,81.0,3.0,60.0,13.8,1
273,274,1014.8,24.5,23.1,22.7,22.9,90.0,94.0,0.0,30.0,50.7,1
274,275,1016.5,25.3,21.3,20.8,19.6,78.0,61.0,3.3,70.0,22.0,0
275,276,1016.4,28.4,26.1,25.1,23.0,85.0,84.0,6.0,80.0,15.2,1
276,277,1018.0,22.3,21.3,20.4,20.9,89.0,88.0,0.0,20.0,21.4,1
277,278,1016.0,27.4,24.9,22.2,20.3,81.0,78.0,5.8,90.0,35.3,0
278,279,1016.8,28.1,25.0,23.7,20.3,70.0,78.0,5.3,60.0,16.4,0
279,280,1017.1,29.2,25.7,23.4,19.4,78.0,65.0,8.8,60.0,27.3,0
280,281,1014.1,28.2,25.3,23.2,22.1,76.0,46.0,8.8,40.0,10.9,1
281,282,1017.7,28.2,25.6,23.4,21.6,82.0,70.0,7.6,80.0,10.0,1
282,283,1016.8,26.2,24.3,21.0,22.2,83.0,81.0,0.7,30.0,11.0,1
283,284,1019.5,27.9,25.8,24.7,23.1,83.0,88.0,0.9,80.0,10.2,1
284,285,1019.8,26.8,23.1,21.2,20.1,78.0,79.0,8.2,80.0,25.1,1
285,286,1020.6,26.3,24.3,22.5,19.3,70.0,47.0,7.1,20.0,28.3,1
286,287,1017.3,26.4,24.5,23.9,22.3,79.0,79.0,3.1,60.0,22.9,1
287,288,1019.5,25.3,23.7,22.3,18.8,79.0,83.0,3.5,70.0,15.3,1
288,289,1015.2,26.3,24.5,23.7,19.9,73.0,49.0,7.1,70.0,16.0,0
289,290,1014.9,26.3,23.3,20.1,17.4,75.0,83.0,3.0,40.0,22.0,1
290,291,1017.1,27.9,25.3,24.1,22.9,84.0,78.0,1.0,40.0,14.6,1
291,292,1017.1,26.0,24.9,22.3,22.2,81.0,84.0,2.4,70.0,12.0,1
292,293,1012.2,28.9,24.0,21.6,23.5,81.0,78.0,6.5,50.0,36.0,1
293,294,1012.5,26.3,25.7,24.4,22.8,76.0,66.0,3.2,80.0,24.9,1
294,295,1015.2,27.1,25.0,23.7,20.7,78.0,58.0,9.4,50.0,15.5,0
